	Ток анода	Напряжение анода	Ток накала катода	Ток регулятора расхода	Ток магнитной системы	Ток накала катода	Температура НМ	Температура АП	Температура РР
9:21:16:637	0	0	0	0	0	0	0	0	0
9:21:18:35	0	0	0	0	0	0	0	0	0
9:21:18:835	0	0	0	0	0	0	0	0	0
9:21:19:313	0	0	0	0	0	0	0	0	0
9:21:19:631	0	0	0	0	0	0	0	0	0
9:21:19:879	0	0	0	0	0	0	0	0	0
9:21:20:71	0	0	0	0	0	0	0	0	0
9:21:20:266	0	0	0	0	0	0	0	0	0
9:21:20:452	0	0	0	0	0	0	0	0	0
9:21:20:651	0	0	0	0	0	0	0	0	0
9:21:20:825	0	0	0	0	0	0	0	0	0
9:21:21:13	0	0	0	0	0	0	0	0	0
9:21:21:240	0	0	0	0	0	0	0	0	0
9:21:21:400	0	0	0	0	0	0	0	0	0
9:21:21:634	0	0	0	0	0	0	0	0	0
9:21:21:820	0	0	0	0	0	0	0	0	0
9:21:22:20	0	0	0	0	0	0	0	0	0
9:21:22:213	0	0	0	0	0	0	0	0	0
9:21:22:415	0	0	0	0	0	0	0	0	0
9:21:22:783	0	0	0	0	0	0	0	0	0
9:22:32:526	0,17	8755	0,68	218,62	306	15,3	-84	-118	-152
9:22:33:425	0,17	8755	0,68	218,62	306	15,3	-84	-118	-152
9:22:34:75	0,17	8755	0,68	218,62	306	15,3	-84	-118	-152
9:22:34:988	0,17	8755	0,68	218,62	306	15,3	-84	-118	-152
9:22:35:862	0,17	8755	0,68	218,62	306	15,3	-84	-118	-152
9:22:36:558	0,17	8755	0,68	218,62	306	15,3	-84	-118	-152
9:22:37:232	0,17	8755	0,68	218,62	306	15,3	-84	-118	-152
9:22:37:790	0,17	8755	0,68	218,62	306	15,3	-84	-118	-152
9:22:38:244	0,17	8755	0,68	218,62	306	15,3	-84	-118	-152
9:22:38:694	0,17	8755	0,68	218,62	306	15,3	-84	-118	-152
9:22:38:915	0,17	8755	0,68	218,62	306	15,3	-84	-118	-152
9:22:39:144	0,17	8755	0,68	218,62	306	15,3	-84	-118	-152
9:22:39:352	0,17	8755	0,68	218,62	306	15,3	-84	-118	-152
9:22:39:546	0,17	8755	0,68	218,62	306	15,3	-84	-118	-152
9:22:39:752	0,17	8755	0,68	218,62	306	15,3	-84	-118	-152
9:22:39:964	0,17	8755	0,68	218,62	306	15,3	-84	-118	-152
9:22:40:179	0,17	8755	0,68	218,62	306	15,3	-84	-118	-152
9:22:40:407	0,17	8755	0,68	218,62	306	15,3	-84	-118	-152
9:22:40:617	0,17	8755	0,68	218,62	306	15,3	-84	-118	-152
9:22:40:835	0,17	8755	0,68	218,62	306	15,3	-84	-118	-152
9:22:41:41	0,17	8755	0,68	218,62	306	15,3	-84	-118	-152
9:22:41:339	0,17	8755	0,68	218,62	306	15,3	-84	-118	-152
9:22:41:674	0,17	8755	0,68	218,62	306	15,3	-84	-118	-152
9:22:42:155	0,17	8755	0,68	218,62	306	15,3	-84	-118	-152
9:25:2:344	0,17	8755	0,68	218,62	306	15,3	-84	-118	-152
9:25:3:339	0,17	8755	0,68	218,62	306	15,3	-84	-118	-152
9:25:4:325	0,17	8755	0,68	218,62	306	15,3	-84	-118	-152
9:25:5:333	0,17	8755	0,68	218,62	306	15,3	-84	-118	-152
9:25:6:327	0,17	8755	0,68	218,62	306	15,3	-84	-118	-152
9:25:7:340	0,17	8755	0,68	218,62	306	15,3	-84	-118	-152
9:25:8:332	0,17	8755	0,68	218,62	306	15,3	-84	-118	-152
9:25:9:325	0,17	8755	0,68	218,62	306	15,3	-84	-118	-152
9:25:10:328	0,17	8755	0,68	218,62	306	15,3	-84	-118	-152
9:25:11:344	0,17	8755	0,68	218,62	306	15,3	-84	-118	-152
9:25:12:332	0,17	8755	0,68	218,62	306	15,3	-84	-118	-152
9:25:13:330	0,17	8755	0,68	218,62	306	15,3	-84	-118	-152
9:25:14:335	0,17	8755	0,68	218,62	306	15,3	-84	-118	-152
9:25:15:325	0,17	8755	0,68	218,62	306	15,3	-84	-118	-152
9:25:16:329	0,17	8755	0,68	218,62	306	15,3	-84	-118	-152
9:25:17:335	0,17	8755	0,68	218,62	306	15,3	-84	-118	-152
9:25:18:341	0,17	8755	0,68	218,62	306	15,3	-84	-118	-152
