	Ток анода	Напряжение анода	Ток накала катода	Ток регулятора расхода	Ток магнитной системы	Ток накала катода	Температура НМ	Температура АП	Температура РР
11:42:47:664	0	0	0	0	0	0	0	0	0
11:42:47:753	0	0	0	0	0	0	0	0	0
11:42:47:850	0	0	0	0	0	0	0	0	0
11:42:47:950	0	0	0	0	0	0	0	0	0
11:42:48:50	0	0	0	0	0	0	0	0	0
11:42:48:163	0	0	0	0	0	0	0	0	0
11:42:48:291	0	0	0	0	0	0	0	0	0
11:42:48:383	0	0	0	0	0	0	0	0	0
11:42:48:503	0	0	0	0	0	0	0	0	0
11:42:48:598	0	0	0	0	0	0	0	0	0
11:42:48:735	0	0	0	0	0	0	0	0	0
11:42:48:844	0	0	0	0	0	0	0	0	0
11:42:48:945	0	0	0	0	0	0	0	0	0
11:42:49:45	0	0	0	0	0	0	0	0	0
11:42:49:159	0	0	0	0	0	0	0	0	0
11:42:49:278	0	0	0	0	0	0	0	0	0
11:42:49:396	0	0	0	0	0	0	0	0	0
11:42:49:504	0	0	0	0	0	0	0	0	0
11:42:49:594	0	0	0	0	0	0	0	0	0
11:42:49:711	0	0	0	0	0	0	0	0	0
11:42:49:815	0	0	0	0	0	0	0	0	0
11:42:49:939	0	0	0	0	0	0	0	0	0
11:42:50:41	0	0	0	0	0	0	0	0	0
11:42:50:143	0	0	0	0	0	0	0	0	0
11:42:50:270	0	0	0	0	0	0	0	0	0
11:42:50:377	0	0	0	0	0	0	0	0	0
11:42:50:474	0	0	0	0	0	0	0	0	0
11:42:50:594	0	0	0	0	0	0	0	0	0
11:42:50:696	0	0	0	0	0	0	0	0	0
11:42:50:807	0	0	0	0	0	0	0	0	0
11:42:50:927	0	0	0	0	0	0	0	0	0
11:42:51:34	0	0	0	0	0	0	0	0	0
11:42:51:127	0	0	0	0	0	0	0	0	0
11:42:51:240	0	0	0	0	0	0	0	0	0
11:42:51:352	0	0	0	0	0	0	0	0	0
11:42:51:449	0	0	0	0	0	0	0	0	0
11:42:51:562	0	0	0	0	0	0	0	0	0
11:42:51:676	0	0	0	0	0	0	0	0	0
11:42:51:801	0	0	0	0	0	0	0	0	0
11:42:51:918	0	0	0	0	0	0	0	0	0
11:42:52:4	0	0	0	0	0	0	0	0	0
11:42:52:101	0	0	0	0	0	0	0	0	0
11:42:52:211	0	0	0	0	0	0	0	0	0
11:42:52:335	0	0	0	0	0	0	0	0	0
11:42:52:436	0	0	0	0	0	0	0	0	0
11:42:52:548	0	0	0	0	0	0	0	0	0
11:42:52:647	0	0	0	0	0	0	0	0	0
11:42:52:756	0	0	0	0	0	0	0	0	0
11:42:52:882	0	0	0	0	0	0	0	0	0
11:42:52:989	0	0	0	0	0	0	0	0	0
11:42:53:93	0	0	0	0	0	0	0	0	0
11:42:53:195	0	0	0	0	0	0	0	0	0
11:42:53:310	0	0	0	0	0	0	0	0	0
11:42:53:416	0	0	0	0	0	0	0	0	0
11:42:53:521	0	0	0	0	0	0	0	0	0
11:42:53:650	0	0	0	0	0	0	0	0	0
11:42:53:751	0	0	0	0	0	0	0	0	0
11:42:53:872	0	0	0	0	0	0	0	0	0
11:42:53:986	0	0	0	0	0	0	0	0	0
11:42:54:102	0	0	0	0	0	0	0	0	0
11:42:54:195	0	0	0	0	0	0	0	0	0
11:42:54:311	0	0	0	0	0	0	0	0	0
11:42:54:419	0	0	0	0	0	0	0	0	0
11:42:54:573	0	0	0	0	0	0	0	0	0
11:42:54:720	0	0	0	0	0	0	0	0	0
11:42:54:771	0	0	0	0	0	0	0	0	0
11:42:55:259	0	0	0	0	0	0	0	0	0
11:42:55:418	0	0	0	0	0	0	0	0	0
11:42:55:516	0	0	0	0	0	0	0	0	0
11:42:55:624	0	0	0	0	0	0	0	0	0
11:42:55:722	0	0	0	0	0	0	0	0	0
11:42:55:823	0	0	0	0	0	0	0	0	0
11:42:55:941	0	0	0	0	0	0	0	0	0
11:42:56:46	0	0	0	0	0	0	0	0	0
11:42:56:153	0	0	0	0	0	0	0	0	0
11:42:56:261	0	0	0	0	0	0	0	0	0
11:42:56:368	0	0	0	0	0	0	0	0	0
11:42:56:489	0	0	0	0	0	0	0	0	0
11:42:56:590	0	0	0	0	0	0	0	0	0
11:42:56:715	0	0	0	0	0	0	0	0	0
11:42:56:822	0	0	0	0	0	0	0	0	0
11:42:56:912	0	0	0	0	0	0	0	0	0
11:42:57:33	0	0	0	0	0	0	0	0	0
11:42:57:139	0	0	0	0	0	0	0	0	0
11:42:57:260	0	0	0	0	0	0	0	0	0
11:42:57:376	0	0	0	0	0	0	0	0	0
11:42:57:467	0	0	0	0	0	0	0	0	0
11:42:57:586	0	0	0	0	0	0	0	0	0
11:42:57:685	0	0	0	0	0	0	0	0	0
11:42:57:801	0	0	0	0	0	0	0	0	0
11:42:57:931	0	0	0	0	0	0	0	0	0
11:42:58:30	0	0	0	0	0	0	0	0	0
11:42:58:321	0	0	0	0	0	0	0	0	0
11:42:58:344	0	0	0	0	0	0	0	0	0
11:42:58:496	0	0	0	0	0	0	0	0	0
11:42:58:551	0	0	0	0	0	0	0	0	0
11:42:58:642	0	0	0	0	0	0	0	0	0
11:42:58:742	0	0	0	0	0	0	0	0	0
11:42:58:838	0	0	0	0	0	0	0	0	0
11:42:58:943	0	0	0	0	0	0	0	0	0
11:42:59:46	0	0	0	0	0	0	0	0	0
11:42:59:145	0	0	0	0	0	0	0	0	0
11:42:59:336	0	0	0	0	0	0	0	0	0
11:42:59:358	0	0	0	0	0	0	0	0	0
11:42:59:453	0	0	0	0	0	0	0	0	0
11:42:59:555	0	0	0	0	0	0	0	0	0
11:42:59:673	0	0	0	0	0	0	0	0	0
11:42:59:768	0	0	0	0	0	0	0	0	0
11:42:59:867	0	0	0	0	0	0	0	0	0
11:42:59:997	0	0	0	0	0	0	0	0	0
11:43:0:114	0	0	0	0	0	0	0	0	0
11:43:0:201	0	0	0	0	0	0	0	0	0
11:43:0:314	0	0	0	0	0	0	0	0	0
11:43:0:425	0	0	0	0	0	0	0	0	0
11:43:0:529	0	0	0	0	0	0	0	0	0
11:43:0:646	0	0	0	0	0	0	0	0	0
11:43:0:761	0	0	0	0	0	0	0	0	0
11:43:0:858	0	0	0	0	0	0	0	0	0
11:43:0:976	0	0	0	0	0	0	0	0	0
11:43:1:84	0	0	0	0	0	0	0	0	0
11:43:1:186	0	0	0	0	0	0	0	0	0
11:43:1:308	0	0	0	0	0	0	0	0	0
11:43:1:424	0	0	0	0	0	0	0	0	0
11:43:1:532	0	0	0	0	0	0	0	0	0
11:43:1:622	0	0	0	0	0	0	0	0	0
11:43:1:734	0	0	0	0	0	0	0	0	0
11:43:1:834	0	0	0	0	0	0	0	0	0
11:43:1:956	0	0	0	0	0	0	0	0	0
11:43:2:58	0	0	0	0	0	0	0	0	0
11:43:2:180	0	0	0	0	0	0	0	0	0
11:43:2:294	0	0	0	0	0	0	0	0	0
11:43:2:404	0	0	0	0	0	0	0	0	0
11:43:2:498	0	0	0	0	0	0	0	0	0
11:43:2:607	0	0	0	0	0	0	0	0	0
11:43:2:720	0	0	0	0	0	0	0	0	0
11:43:2:840	0	0	0	0	0	0	0	0	0
11:43:2:930	0	0	0	0	0	0	0	0	0
11:43:3:41	0	0	0	0	0	0	0	0	0
11:43:3:160	0	0	0	0	0	0	0	0	0
11:43:3:268	0	0	0	0	0	0	0	0	0
11:43:3:379	0	0	0	0	0	0	0	0	0
11:43:3:480	0	0	0	0	0	0	0	0	0
11:43:3:590	0	0	0	0	0	0	0	0	0
11:43:3:710	0	0	0	0	0	0	0	0	0
11:43:3:831	0	0	0	0	0	0	0	0	0
11:43:3:936	0	0	0	0	0	0	0	0	0
11:43:4:29	0	0	0	0	0	0	0	0	0
11:43:4:150	0	0	0	0	0	0	0	0	0
11:43:4:246	0	0	0	0	0	0	0	0	0
11:43:4:362	0	0	0	0	0	0	0	0	0
11:43:4:494	0	0	0	0	0	0	0	0	0
11:43:4:592	0	0	0	0	0	0	0	0	0
11:43:4:688	0	0	0	0	0	0	0	0	0
11:43:4:810	0	0	0	0	0	0	0	0	0
11:43:4:919	0	0	0	0	0	0	0	0	0
11:43:5:10	0	0	0	0	0	0	0	0	0
11:43:5:125	0	0	0	0	0	0	0	0	0
11:43:5:225	0	0	0	0	0	0	0	0	0
11:43:5:334	0	0	0	0	0	0	0	0	0
11:43:5:446	0	0	0	0	0	0	0	0	0
11:43:5:564	0	0	0	0	0	0	0	0	0
11:43:5:681	0	0	0	0	0	0	0	0	0
11:43:5:784	0	0	0	0	0	0	0	0	0
11:43:5:907	0	0	0	0	0	0	0	0	0
11:43:6:6	0	0	0	0	0	0	0	0	0
11:43:6:127	0	0	0	0	0	0	0	0	0
11:43:6:227	0	0	0	0	0	0	0	0	0
11:43:6:348	0	0	0	0	0	0	0	0	0
11:43:6:469	0	0	0	0	0	0	0	0	0
