	Ток анода	Напряжение анода	Ток накала катода	Ток регулятора расхода	Ток магнитной системы	Ток накала катода	Температура НМ	Температура АП	Температура РР
17:26:41:117	1,5	350	0,5	5	3	12	80	80	80
17:26:41:394	1,5	350	0,5	5	3	12	80	80	80
17:26:41:561	1,5	350	0,5	5	3	12	80	80	80
17:26:42:166	0	0	0	0	0	0	-80	-80	-80
17:26:42:465	0	0	0	0	0	0	-80	-80	-80
17:26:42:608	0	0	0	0	0	0	-80	-80	-80
17:26:42:825	0	0	0	0	0	0	-80	-80	-80
17:26:43:1	0	0	0	0	0	0	-80	-80	-80
17:26:43:178	0	0	0	0	0	0	-80	-80	-80
17:26:43:351	0	0	0	0	0	0	-80	-80	-80
17:26:43:519	0	0	0	0	0	0	-80	-80	-80
17:26:44:211	1,5	350	0,5	5	3	12	80	80	80
17:26:44:430	1,5	350	0,5	5	3	12	80	80	80
17:26:44:612	1,5	350	0,5	5	3	12	80	80	80
17:26:44:828	1,5	350	0,5	5	3	12	80	80	80
17:26:45:19	1,5	350	0,5	5	3	12	80	80	80
17:26:45:219	1,5	350	0,5	5	3	12	80	80	80
17:26:45:410	1,5	350	0,5	5	3	12	80	80	80
17:26:45:580	1,5	350	0,5	5	3	12	80	80	80
17:26:45:897	0	0	0	0	0	0	-80	-80	-80
17:26:46:83	0	0	0	0	0	0	-80	-80	-80
17:26:46:275	0	0	0	0	0	0	-80	-80	-80
17:26:46:457	0	0	0	0	0	0	-80	-80	-80
17:26:46:664	0	0	0	0	0	0	-80	-80	-80
17:26:46:821	0	0	0	0	0	0	-80	-80	-80
17:26:47:286	1,5	350	0,5	5	3	12	80	80	80
17:26:47:623	1,5	350	0,5	5	3	12	80	80	80
17:26:48:131	1,5	350	0,5	5	3	12	80	80	80
17:26:48:156	1,5	350	0,5	5	3	12	80	80	80
17:26:48:188	1,5	350	0,5	5	3	12	80	80	80
17:26:48:215	1,5	350	0,5	5	3	12	80	80	80
17:26:48:245	1,5	350	0,5	5	3	12	80	80	80
17:26:48:276	1,5	350	0,5	5	3	12	80	80	80
17:26:48:310	1,5	350	0,5	5	3	12	80	80	80
17:26:48:357	1,5	350	0,5	5	3	12	80	80	80
17:26:48:376	1,5	350	0,5	5	3	12	80	80	80
17:26:48:420	1,5	350	0,5	5	3	12	80	80	80
17:26:48:456	1,5	350	0,5	5	3	12	80	80	80
17:26:48:484	1,5	350	0,5	5	3	12	80	80	80
17:26:48:514	1,5	350	0,5	5	3	12	80	80	80
17:26:48:550	1,5	350	0,5	5	3	12	80	80	80
17:26:48:580	1,5	350	0,5	5	3	12	80	80	80
17:26:48:611	1,5	350	0,5	5	3	12	80	80	80
17:26:48:637	1,5	350	0,5	5	3	12	80	80	80
17:26:48:685	1,5	350	0,5	5	3	12	80	80	80
17:26:48:711	1,5	350	0,5	5	3	12	80	80	80
17:26:48:746	1,5	350	0,5	5	3	12	80	80	80
17:26:48:777	1,5	350	0,5	5	3	12	80	80	80
17:26:48:813	1,5	350	0,5	5	3	12	80	80	80
17:26:48:844	1,5	350	0,5	5	3	12	80	80	80
17:26:48:880	1,5	350	0,5	5	3	12	80	80	80
17:26:48:906	1,5	350	0,5	5	3	12	80	80	80
17:26:48:942	1,5	350	0,5	5	3	12	80	80	80
17:26:48:972	1,5	350	0,5	5	3	12	80	80	80
17:26:49:13	1,5	350	0,5	5	3	12	80	80	80
17:26:49:43	1,5	350	0,5	5	3	12	80	80	80
17:26:49:271	0	0	0	0	0	0	-80	-80	-80
17:26:49:405	0	0	0	0	0	0	-80	-80	-80
17:26:49:927	0	0	0	0	0	0	-80	-80	-80
17:26:49:949	0	0	0	0	0	0	-80	-80	-80
17:26:49:984	0	0	0	0	0	0	-80	-80	-80
17:26:50:16	0	0	0	0	0	0	-80	-80	-80
17:26:50:44	0	0	0	0	0	0	-80	-80	-80
17:26:50:68	0	0	0	0	0	0	-80	-80	-80
17:26:50:108	0	0	0	0	0	0	-80	-80	-80
17:26:50:128	0	0	0	0	0	0	-80	-80	-80
17:26:50:176	0	0	0	0	0	0	-80	-80	-80
17:26:50:204	0	0	0	0	0	0	-80	-80	-80
17:26:50:241	0	0	0	0	0	0	-80	-80	-80
17:26:50:272	0	0	0	0	0	0	-80	-80	-80
17:26:50:298	0	0	0	0	0	0	-80	-80	-80
17:26:50:328	0	0	0	0	0	0	-80	-80	-80
17:26:50:376	0	0	0	0	0	0	-80	-80	-80
17:26:50:411	0	0	0	0	0	0	-80	-80	-80
17:26:50:440	0	0	0	0	0	0	-80	-80	-80
17:26:50:470	0	0	0	0	0	0	-80	-80	-80
17:26:50:500	0	0	0	0	0	0	-80	-80	-80
17:26:50:531	0	0	0	0	0	0	-80	-80	-80
17:26:50:557	0	0	0	0	0	0	-80	-80	-80
17:26:50:650	0	0	0	0	0	0	-80	-80	-80
17:26:50:673	0	0	0	0	0	0	-80	-80	-80
17:26:50:693	0	0	0	0	0	0	-80	-80	-80
17:26:50:711	0	0	0	0	0	0	-80	-80	-80
17:26:50:767	0	0	0	0	0	0	-80	-80	-80
17:26:50:786	0	0	0	0	0	0	-80	-80	-80
17:26:50:799	0	0	0	0	0	0	-80	-80	-80
17:26:50:830	0	0	0	0	0	0	-80	-80	-80
17:26:50:860	0	0	0	0	0	0	-80	-80	-80
17:26:50:904	0	0	0	0	0	0	-80	-80	-80
17:26:51:116	1,5	350	0,5	5	3	12	80	80	80
17:26:51:279	1,5	350	0,5	5	3	12	80	80	80
17:26:51:796	1,5	350	0,5	5	3	12	80	80	80
17:26:51:824	1,5	350	0,5	5	3	12	80	80	80
17:26:51:843	1,5	350	0,5	5	3	12	80	80	80
17:26:51:888	1,5	350	0,5	5	3	12	80	80	80
17:26:51:925	1,5	350	0,5	5	3	12	80	80	80
17:26:51:952	1,5	350	0,5	5	3	12	80	80	80
17:26:51:987	1,5	350	0,5	5	3	12	80	80	80
17:26:52:19	1,5	350	0,5	5	3	12	80	80	80
17:26:52:50	1,5	350	0,5	5	3	12	80	80	80
17:26:52:79	1,5	350	0,5	5	3	12	80	80	80
17:26:52:109	1,5	350	0,5	5	3	12	80	80	80
17:26:52:144	1,5	350	0,5	5	3	12	80	80	80
17:26:52:177	1,5	350	0,5	5	3	12	80	80	80
17:26:52:205	1,5	350	0,5	5	3	12	80	80	80
17:26:52:238	1,5	350	0,5	5	3	12	80	80	80
17:26:52:265	1,5	350	0,5	5	3	12	80	80	80
17:26:52:310	1,5	350	0,5	5	3	12	80	80	80
17:26:52:345	1,5	350	0,5	5	3	12	80	80	80
17:26:52:375	1,5	350	0,5	5	3	12	80	80	80
17:26:52:411	1,5	350	0,5	5	3	12	80	80	80
17:26:52:623	0	0	0	0	0	0	-80	-80	-80
17:26:52:808	0	0	0	0	0	0	-80	-80	-80
17:26:53:326	0	0	0	0	0	0	-80	-80	-80
17:26:53:342	0	0	0	0	0	0	-80	-80	-80
17:26:53:371	0	0	0	0	0	0	-80	-80	-80
17:26:53:402	0	0	0	0	0	0	-80	-80	-80
17:26:53:432	0	0	0	0	0	0	-80	-80	-80
17:26:53:482	0	0	0	0	0	0	-80	-80	-80
17:26:53:515	0	0	0	0	0	0	-80	-80	-80
17:26:53:545	0	0	0	0	0	0	-80	-80	-80
17:26:53:573	0	0	0	0	0	0	-80	-80	-80
17:26:53:601	0	0	0	0	0	0	-80	-80	-80
17:26:53:636	0	0	0	0	0	0	-80	-80	-80
17:26:53:
