	Ток анода	Напряжение анода	Ток накала катода	Ток регулятора расхода	Ток магнитной системы	Ток накала катода	Температура НМ	Температура АП	Температура РР
15:44:51:849	0	0	0	0	0	0	0	0	0
15:44:51:947	0	0	0	0	0	0	0	0	0
15:44:52:48	0	0	0	0	0	0	0	0	0
15:44:52:161	0	0	0	0	0	0	0	0	0
15:44:52:273	0	0	0	0	0	0	0	0	0
15:44:52:397	0	0	0	0	0	0	0	0	0
15:44:52:503	0	0	0	0	0	0	0	0	0
15:44:52:627	0	0	0	0	0	0	0	0	0
15:44:52:757	0	0	0	0	0	0	0	0	0
15:44:52:877	0	0	0	0	0	0	0	0	0
15:44:52:994	0	0	0	0	0	0	0	0	0
15:44:53:88	0	0	0	0	0	0	0	0	0
15:44:53:206	0	0	0	0	0	0	0	0	0
15:44:53:303	0	0	0	0	0	0	0	0	0
15:44:53:406	0	0	0	0	0	0	0	0	0
15:44:53:527	0	0	0	0	0	0	0	0	0
15:44:53:633	0	0	0	0	0	0	0	0	0
15:44:53:742	0	0	0	0	0	0	0	0	0
15:44:53:836	0	0	0	0	0	0	0	0	0
15:44:53:962	0	0	0	0	0	0	0	0	0
15:44:54:78	0	0	0	0	0	0	0	0	0
15:44:54:174	0	0	0	0	0	0	0	0	0
15:44:54:289	0	0	0	0	0	0	0	0	0
15:44:54:402	0	0	0	0	0	0	0	0	0
15:44:54:511	0	0	0	0	0	0	0	0	0
15:44:54:615	0	0	0	0	0	0	0	0	0
15:44:54:711	0	0	0	0	0	0	0	0	0
15:44:54:833	0	0	0	0	0	0	0	0	0
15:44:54:947	0	0	0	0	0	0	0	0	0
15:44:55:64	0	0	0	0	0	0	0	0	0
15:44:55:164	0	0	0	0	0	0	0	0	0
15:44:55:260	0	0	0	0	0	0	0	0	0
15:44:55:364	0	0	0	0	0	0	0	0	0
15:44:55:492	0	0	0	0	0	0	0	0	0
15:44:55:608	0	0	0	0	0	0	0	0	0
15:44:55:698	0	0	0	0	0	0	0	0	0
15:44:55:809	0	0	0	0	0	0	0	0	0
15:44:55:930	0	0	0	0	0	0	0	0	0
15:44:56:36	0	0	0	0	0	0	0	0	0
15:44:56:132	0	0	0	0	0	0	0	0	0
15:44:56:244	0	0	0	0	0	0	0	0	0
15:44:56:370	0	0	0	0	0	0	0	0	0
15:44:56:467	0	0	0	0	0	0	0	0	0
15:44:56:568	0	0	0	0	0	0	0	0	0
15:44:56:691	0	0	0	0	0	0	0	0	0
15:44:56:806	0	0	0	0	0	0	0	0	0
15:44:56:904	0	0	0	0	0	0	0	0	0
15:44:57:9	0	0	0	0	0	0	0	0	0
15:44:57:133	0	0	0	0	0	0	0	0	0
15:44:57:256	0	0	0	0	0	0	0	0	0
15:44:57:370	0	0	0	0	0	0	0	0	0
15:44:57:478	0	0	0	0	0	0	0	0	0
15:44:57:592	0	0	0	0	0	0	0	0	0
15:44:57:696	0	0	0	0	0	0	0	0	0
15:44:57:802	0	0	0	0	0	0	0	0	0
15:44:57:914	0	0	0	0	0	0	0	0	0
15:44:58:16	0	0	0	0	0	0	0	0	0
15:44:58:127	0	0	0	0	0	0	0	0	0
15:44:58:249	0	0	0	0	0	0	0	0	0
15:44:58:369	0	0	0	0	0	0	0	0	0
15:44:58:464	0	0	0	0	0	0	0	0	0
15:44:58:566	0	0	0	0	0	0	0	0	0
15:44:58:678	0	0	0	0	0	0	0	0	0
15:44:58:787	0	0	0	0	0	0	0	0	0
15:44:58:885	0	0	0	0	0	0	0	0	0
15:44:58:999	0	0	0	0	0	0	0	0	0
15:44:59:109	0	0	0	0	0	0	0	0	0
15:44:59:239	0	0	0	0	0	0	0	0	0
15:44:59:339	0	0	0	0	0	0	0	0	0
