	Ток анода	Напряжение анода	Ток накала катода	Ток регулятора расхода	Ток магнитной системы	Ток накала катода	Температура НМ	Температура АП	Температура РР
10:16:57:528	0	0	0	0	0	0	0	0	0
10:16:57:645	0	0	0	0	0	0	0	0	0
10:16:57:729	0	0	0	0	0	0	0	0	0
10:16:57:836	0	0	0	0	0	0	0	0	0
10:16:57:949	0	0	0	0	0	0	0	0	0
10:16:58:51	0	0	0	0	0	0	0	0	0
10:16:58:195	0	0	0	0	0	0	0	0	0
10:16:58:280	0	0	0	0	0	0	0	0	0
10:16:58:398	0	0	0	0	0	0	0	0	0
10:16:58:544	0	0	0	0	0	0	0	0	0
10:16:58:607	0	0	0	0	0	0	0	0	0
10:16:58:727	0	0	0	0	0	0	0	0	0
10:16:58:827	0	0	0	0	0	0	0	0	0
10:16:58:927	0	0	0	0	0	0	0	0	0
10:16:59:53	0	0	0	0	0	0	0	0	0
10:16:59:156	0	0	0	0	0	0	0	0	0
10:16:59:264	0	0	0	0	0	0	0	0	0
10:16:59:360	0	0	0	0	0	0	0	0	0
10:16:59:511	0	0	0	0	0	0	0	0	0
10:16:59:596	0	0	0	0	0	0	0	0	0
10:16:59:697	0	0	0	0	0	0	0	0	0
10:16:59:836	0	0	0	0	0	0	0	0	0
10:16:59:920	0	0	0	0	0	0	0	0	0
10:17:0:47	0	0	0	0	0	0	0	0	0
10:17:0:147	0	0	0	0	0	0	0	0	0
10:17:0:245	0	0	0	0	0	0	0	0	0
10:17:0:372	0	0	0	0	0	0	0	0	0
10:17:0:468	0	0	0	0	0	0	0	0	0
10:17:0:591	0	0	0	0	0	0	0	0	0
10:17:0:703	0	0	0	0	0	0	0	0	0
10:17:0:805	0	0	0	0	0	0	0	0	0
10:17:0:906	0	0	0	0	0	0	0	0	0
10:17:1:14	0	0	0	0	0	0	0	0	0
10:17:1:126	0	0	0	0	0	0	0	0	0
10:17:1:252	0	0	0	0	0	0	0	0	0
10:17:1:367	0	0	0	0	0	0	0	0	0
10:17:1:461	0	0	0	0	0	0	0	0	0
10:17:1:567	0	0	0	0	0	0	0	0	0
10:17:1:678	0	0	0	0	0	0	0	0	0
10:17:1:792	0	0	0	0	0	0	0	0	0
10:17:1:893	0	0	0	0	0	0	0	0	0
10:17:2:2	0	0	0	0	0	0	0	0	0
10:17:2:115	0	0	0	0	0	0	0	0	0
10:17:2:242	0	0	0	0	0	0	0	0	0
10:17:2:333	0	0	0	0	0	0	0	0	0
10:17:2:446	0	0	0	0	0	0	0	0	0
10:17:2:557	0	0	0	0	0	0	0	0	0
10:17:2:673	0	0	0	0	0	0	0	0	0
10:17:2:772	0	0	0	0	0	0	0	0	0
10:17:2:897	0	0	0	0	0	0	0	0	0
10:17:2:992	0	0	0	0	0	0	0	0	0
10:17:3:98	0	0	0	0	0	0	0	0	0
10:17:3:223	0	0	0	0	0	0	0	0	0
10:17:3:319	0	0	0	0	0	0	0	0	0
10:17:3:430	0	0	0	0	0	0	0	0	0
10:17:3:546	0	0	0	0	0	0	0	0	0
10:17:3:645	0	0	0	0	0	0	0	0	0
10:17:3:768	0	0	0	0	0	0	0	0	0
10:17:3:863	0	0	0	0	0	0	0	0	0
10:17:3:971	0	0	0	0	0	0	0	0	0
10:17:4:79	0	0	0	0	0	0	0	0	0
10:17:4:182	0	0	0	0	0	0	0	0	0
10:17:4:308	0	0	0	0	0	0	0	0	0
