	Ток анода	Напряжение анода	Ток накала катода	Ток регулятора расхода	Ток магнитной системы	Ток накала катода	Температура НМ	Температура АП	Температура РР
9:43:25:157	0,81	8193	0,68	3,24	349,35	15,3	-84	-118	-152
9:43:25:719	0,81	8193	0,68	3,24	349,35	15,3	-84	-118	-152
9:43:26:262	0,81	8193	0,68	3,24	349,35	15,3	-84	-118	-152
9:43:26:618	0,81	8193	0,68	3,24	349,35	15,3	-84	-118	-152
9:43:56:450	0,81	288	0,68	3,24	349,35	15,3	-84	-118	-152
9:43:56:660	0,81	288	0,68	3,24	349,35	15,3	-84	-118	-152
9:43:56:783	0,81	288	0,68	3,24	349,35	15,3	-84	-118	-152
9:43:56:935	0,81	288	0,68	3,24	349,35	15,3	-84	-118	-152
9:44:1:939	0,81	288	0,68	3,24	349,35	15,3	-84	-118	-152
9:44:2:920	0,81	288	0,68	3,24	349,35	15,3	-84	-118	-152
9:44:3:922	0,81	288	0,68	3,24	349,35	15,3	-84	-118	-152
9:44:4:936	0,81	288	0,68	3,24	349,35	15,3	-84	-118	-152
9:44:5:919	0,81	288	0,68	3,24	349,35	15,3	-84	-118	-152
9:44:6:936	0,81	288	0,68	3,24	349,35	15,3	-84	-118	-152
9:44:7:943	0,81	288	0,68	3,24	349,35	15,3	-84	-118	-152
9:44:8:923	0,81	288	0,68	3,24	349,35	15,3	-84	-118	-152
9:44:9:934	0,81	288	0,68	3,24	349,35	15,3	-84	-118	-152
9:44:10:946	0,81	288	0,68	3,24	349,35	15,3	-84	-118	-152
9:44:11:932	0,81	288	0,68	3,24	349,35	15,3	-84	-118	-152
9:44:12:933	0,81	288	0,68	3,24	349,35	15,3	-84	-118	-152
9:44:13:937	0,81	288	0,68	3,24	349,35	15,3	-84	-118	-152
9:44:14:951	0,81	288	0,68	3,24	349,35	15,3	-84	-118	-152
9:44:15:936	0,81	288	0,68	3,24	349,35	15,3	-84	-118	-152
9:44:16:914	0,81	288	0,68	3,24	349,35	15,3	-84	-118	-152
9:44:17:916	0,81	288	0,68	3,24	349,35	15,3	-84	-118	-152
9:44:18:933	0,81	288	0,68	3,24	349,35	15,3	-84	-118	-152
9:44:21:128	0,81	288	0,68	3,24	349,35	15,3	-84	-118	-152
9:44:22:130	0,81	288	0,68	3,24	349,35	15,3	-84	-118	-152
9:44:24:188	0,81	288	0,68	3,24	349,35	15,3	-84	-118	-152
9:44:24:265	0,81	288	0,68	3,24	349,35	15,3	-84	-118	-152
9:44:24:375	0,81	288	0,68	3,24	349,35	15,3	-84	-118	-152
10:2:8:697	0	0	0	0	0	0	0	0	0
10:2:11:646	0	0	0	0	0	0	0	0	0
10:2:12:216	0	0	0	0	0	0	0	0	0
10:2:12:689	0	0	0	0	0	0	0	0	0
10:2:13:291	0	0	0	0	0	0	0	0	0
10:2:13:956	0	0	0	0	0	0	0	0	0
10:2:14:129	0	0	0	0	0	0	0	0	0
10:2:14:277	0	0	0	0	0	0	0	0	0
10:2:15:344	0	0	0	0	0	0	0	0	0
10:2:15:437	0	0	0	0	0	0	0	0	0
10:2:15:549	0	0	0	0	0	0	0	0	0
10:2:22:865	0	0	0	0	0	0	0	0	0
10:2:23:995	0	0	0	0	0	0	0	0	0
10:2:24:521	0	0	0	0	0	0	0	0	0
10:2:24:880	0	0	0	0	0	0	0	0	0
10:2:25:189	0	0	0	0	0	0	0	0	0
10:2:25:684	0	0	0	0	0	0	0	0	0
10:2:26:311	0	0	0	0	0	0	0	0	0
10:2:27:488	0	0	0	0	0	0	0	0	0
10:2:27:962	0	0	0	0	0	0	0	0	0
10:2:28:304	0	0	0	0	0	0	0	0	0
10:2:28:789	0	0	0	0	0	0	0	0	0
10:2:38:171	0	0	0	0	0	0	0	0	0
10:2:38:264	0	0	0	0	0	0	0	0	0
10:2:38:372	0	0	0	0	0	0	0	0	0
10:2:44:690	0	0	0	0	0	0	0	0	0
10:2:45:542	0	0	0	0	0	0	0	0	0
10:2:46:208	0	0	0	0	0	0	0	0	0
10:2:52:494	0	0	0	0	0	0	0	0	0
10:2:52:592	0	0	0	0	0	0	0	0	0
10:2:52:689	0	0	0	0	0	0	0	0	0
10:2:59:283	0	0	0	0	0	0	0	0	0
10:2:59:381	0	0	0	0	0	0	0	0	0
10:3:11:575	0	0	0	0	0	0	0	0	0
10:3:14:327	0	0	0	0	0	0	0	0	0
10:3:14:424	0	0	0	0	0	0	0	0	0
10:3:14:524	0	0	0	0	0	0	0	0	0
10:3:15:799	0	0	0	0	0	0	0	0	0
10:3:15:883	0	0	0	0	0	0	0	0	0
10:3:17:210	0	0	0	0	0	0	0	0	0
10:3:17:295	0	0	0	0	0	0	0	0	0
10:3:18:331	0	0	0	0	0	0	0	0	0
10:3:18:409	0	0	0	0	0	0	0	0	0
10:3:18:520	0	0	0	0	0	0	0	0	0
10:3:22:718	0	0	0	0	0	0	0	0	0
10:3:22:761	0	0	0	0	0	0	0	0	0
10:3:33:528	0	0	0	0	0	0	0	0	0
10:3:33:618	0	0	0	0	0	0	0	0	0
10:3:33:731	0	0	0	0	0	0	0	0	0
10:3:37:620	0	0	0	0	0	0	0	0	0
10:3:38:363	0	0	0	0	0	0	0	0	0
10:3:38:814	0	0	0	0	0	0	0	0	0
10:3:39:169	0	0	0	0	0	0	0	0	0
10:3:39:495	0	0	0	0	0	0	0	0	0
10:3:39:854	0	0	0	0	0	0	0	0	0
10:3:40:184	0	0	0	0	0	0	0	0	0
10:3:40:726	0	0	0	0	0	0	0	0	0
10:3:41:85	0	0	0	0	0	0	0	0	0
10:3:41:387	0	0	0	0	0	0	0	0	0
10:3:41:598	0	0	0	0	0	0	0	0	0
10:3:41:828	0	0	0	0	0	0	0	0	0
10:3:42:15	0	0	0	0	0	0	0	0	0
10:3:42:239	0	0	0	0	0	0	0	0	0
10:3:42:438	0	0	0	0	0	0	0	0	0
10:3:42:635	0	0	0	0	0	0	0	0	0
10:3:
