	Ток анода	Напряжение анода	Ток накала катода	Ток регулятора расхода	Ток магнитной системы	Ток накала катода	Температура НМ	Температура АП	Температура РР
10:23:35:920	0	0	0	0	0	0	0	0	0
10:23:36:14	0	0	0	0	0	0	0	0	0
10:23:36:133	0	0	0	0	0	0	0	0	0
10:23:36:245	0	0	0	0	0	0	0	0	0
10:23:36:345	0	0	0	0	0	0	0	0	0
10:23:36:521	0	0	0	0	0	0	0	0	0
10:23:36:627	0	0	0	0	0	0	0	0	0
10:23:36:727	0	0	0	0	0	0	0	0	0
10:23:36:827	0	0	0	0	0	0	0	0	0
10:23:36:934	0	0	0	0	0	0	0	0	0
10:23:37:28	0	0	0	0	0	0	0	0	0
10:23:37:125	0	0	0	0	0	0	0	0	0
10:23:37:240	0	0	0	0	0	0	0	0	0
10:23:37:326	0	0	0	0	0	0	0	0	0
10:23:37:457	0	0	0	0	0	0	0	0	0
10:23:37:551	0	0	0	0	0	0	0	0	0
10:23:37:650	0	0	0	0	0	0	0	0	0
10:23:37:765	0	0	0	0	0	0	0	0	0
10:23:37:877	0	0	0	0	0	0	0	0	0
10:23:37:978	0	0	0	0	0	0	0	0	0
10:23:38:90	0	0	0	0	0	0	0	0	0
10:23:38:216	0	0	0	0	0	0	0	0	0
10:23:38:332	0	0	0	0	0	0	0	0	0
10:23:38:424	0	0	0	0	0	0	0	0	0
10:23:38:537	0	0	0	0	0	0	0	0	0
10:23:38:664	0	0	0	0	0	0	0	0	0
10:23:38:767	0	0	0	0	0	0	0	0	0
10:23:38:863	0	0	0	0	0	0	0	0	0
10:23:38:991	0	0	0	0	0	0	0	0	0
10:23:39:90	0	0	0	0	0	0	0	0	0
10:23:39:199	0	0	0	0	0	0	0	0	0
10:23:39:298	0	0	0	0	0	0	0	0	0
10:23:39:411	0	0	0	0	0	0	0	0	0
10:23:39:521	0	0	0	0	0	0	0	0	0
10:23:39:650	0	0	0	0	0	0	0	0	0
10:23:39:751	0	0	0	0	0	0	0	0	0
10:23:39:843	0	0	0	0	0	0	0	0	0
10:23:39:952	0	0	0	0	0	0	0	0	0
10:23:40:83	0	0	0	0	0	0	0	0	0
10:23:40:189	0	0	0	0	0	0	0	0	0
10:23:40:281	0	0	0	0	0	0	0	0	0
10:23:40:397	0	0	0	0	0	0	0	0	0
10:23:40:510	0	0	0	0	0	0	0	0	0
10:23:40:613	0	0	0	0	0	0	0	0	0
10:23:40:709	0	0	0	0	0	0	0	0	0
10:23:40:827	0	0	0	0	0	0	0	0	0
10:23:40:945	0	0	0	0	0	0	0	0	0
10:23:41:52	0	0	0	0	0	0	0	0	0
10:23:41:181	0	0	0	0	0	0	0	0	0
10:23:41:289	0	0	0	0	0	0	0	0	0
