	Ток анода	Напряжение анода	Ток накала катода	Ток регулятора расхода	Ток магнитной системы	Ток накала катода	Температура НМ	Температура АП	Температура РР
9:54:26:533	0	0	0	0	0	0	0	0	0
9:54:26:592	0	0	0	0	0	0	0	0	0
9:54:26:698	0	0	0	0	0	0	0	0	0
9:54:26:820	0	0	0	0	0	0	0	0	0
9:54:26:939	0	0	0	0	0	0	0	0	0
9:54:27:52	0	0	0	0	0	0	0	0	0
9:54:27:141	0	0	0	0	0	0	0	0	0
9:54:27:265	0	0	0	0	0	0	0	0	0
9:54:27:372	0	0	0	0	0	0	0	0	0
9:54:27:475	0	0	0	0	0	0	0	0	0
9:54:27:588	0	0	0	0	0	0	0	0	0
9:54:27:824	0	0	0	0	0	0	0	0	0
9:54:27:982	0	0	0	0	0	0	0	0	0
9:54:28:73	0	0	0	0	0	0	0	0	0
9:54:28:170	0	0	0	0	0	0	0	0	0
9:54:28:269	0	0	0	0	0	0	0	0	0
9:54:28:369	0	0	0	0	0	0	0	0	0
9:54:28:473	0	0	0	0	0	0	0	0	0
9:54:28:591	0	0	0	0	0	0	0	0	0
9:54:28:692	0	0	0	0	0	0	0	0	0
9:54:28:809	0	0	0	0	0	0	0	0	0
9:54:28:910	0	0	0	0	0	0	0	0	0
9:54:29:18	0	0	0	0	0	0	0	0	0
9:54:29:119	0	0	0	0	0	0	0	0	0
9:54:29:248	0	0	0	0	0	0	0	0	0
9:54:29:356	0	0	0	0	0	0	0	0	0
9:54:29:456	0	0	0	0	0	0	0	0	0
9:54:29:580	0	0	0	0	0	0	0	0	0
9:54:29:691	0	0	0	0	0	0	0	0	0
9:54:29:793	0	0	0	0	0	0	0	0	0
9:54:29:907	0	0	0	0	0	0	0	0	0
9:54:30:6	0	0	0	0	0	0	0	0	0
9:54:30:117	0	0	0	0	0	0	0	0	0
9:54:30:244	0	0	0	0	0	0	0	0	0
9:54:30:349	0	0	0	0	0	0	0	0	0
9:54:30:438	0	0	0	0	0	0	0	0	0
9:54:30:559	0	0	0	0	0	0	0	0	0
